                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.67099,                 0.5601,                 1.0889,                0.92786,                0.84973,                0.91799,                0.73682,                0.82631,                0.58543,                  1.207,               0.006172,               0.006172,               0.006172
                    118,                0.65877,                0.53496,                 1.0897,                0.90925,                0.88444,                0.91954,                0.74365,                0.81812,                0.57656,                 1.2036,               0.006139,               0.006139,               0.006139
                    119,                0.65044,                0.53939,                 1.0842,                0.90267,                0.88936,                 0.9209,                0.74404,                 0.8164,                0.57853,                 1.2041,               0.006106,               0.006106,               0.006106
                    120,                0.65882,                0.53713,                 1.0867,                0.91739,                0.87791,                0.91908,                0.74091,                0.81305,                0.58652,                 1.2016,               0.006073,               0.006073,               0.006073
                    121,                0.66189,                0.54443,                 1.0837,                0.92245,                 0.8758,                 0.9197,                0.74279,                0.81803,                0.59651,                  1.209,                0.00604,                0.00604,                0.00604
                    122,                  0.651,                 0.5344,                 1.0825,                0.90522,                0.89357,                0.91899,                0.74433,                0.82172,                 0.6034,                 1.2094,               0.006007,               0.006007,               0.006007
                    123,                0.66168,                0.53526,                  1.088,                0.91443,                0.88518,                0.92121,                0.74287,                0.82221,                0.59215,                 1.2089,               0.005974,               0.005974,               0.005974
                    124,                0.65928,                0.53815,                 1.0815,                0.90555,                0.88101,                0.92036,                0.74205,                0.81743,                0.59586,                 1.2071,               0.005941,               0.005941,               0.005941
                    125,                0.66001,                0.54112,                 1.0872,                  0.914,                0.86947,                0.91829,                0.73796,                 0.8228,                0.59949,                 1.2115,               0.005908,               0.005908,               0.005908
                    126,                0.64503,                0.53241,                 1.0806,                0.91236,                0.87511,                0.91853,                0.73902,                0.82355,                0.59434,                 1.2161,               0.005875,               0.005875,               0.005875
                    127,                0.64066,                 0.5245,                 1.0807,                0.91838,                0.87195,                0.91899,                0.74028,                0.82894,                0.59232,                 1.2205,               0.005842,               0.005842,               0.005842
